"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 21 17:42:18 IST 2022","Sun Aug 21 17:43:18 IST 2022","60090","","Setmore Add Staff","","Setmore Add Staff","Adding staff in setmore","Adding staff in setmore",""
"broken","Sun Aug 21 17:41:44 IST 2022","Sun Aug 21 17:42:15 IST 2022","31290","","My classes","","My classes","should add classes","should add classes",""
"passed","Fri Aug 19 22:26:16 IST 2022","Fri Aug 19 22:26:42 IST 2022","26078","","Setmore Application Login","","Setmore Application Login","User should login to setmore with valid credentials","User should login to setmore with valid credentials",""
"passed","Sun Aug 21 17:41:44 IST 2022","Sun Aug 21 17:42:13 IST 2022","28705","","Setmore logout feature","","Setmore logout feature","User should logout from setmore","User should logout from setmore",""
"broken","Sun Aug 21 17:43:18 IST 2022","Sun Aug 21 17:44:18 IST 2022","60007","","Setmore Delete Staff","","Setmore Delete Staff","Deleting staff in setmore","Deleting staff in setmore",""
"passed","Sun Aug 21 17:42:10 IST 2022","Sun Aug 21 17:42:20 IST 2022","10278","","Setmore SignUp feature","","Setmore SignUp feature","User should sign up with valid credentials","User should sign up with valid credentials",""
"broken","Sun Aug 21 17:41:44 IST 2022","Sun Aug 21 17:42:05 IST 2022","20414","","Setmore Add Customer","","Setmore Add Customer","Adding customer in setmore","Adding customer in setmore",""
"passed","Fri Aug 19 22:08:03 IST 2022","Fri Aug 19 22:08:27 IST 2022","23490","","Setmore Delete Staff","","Setmore Delete Staff","Deleting staff in setmore","Deleting staff in setmore",""
"broken","Sun Aug 21 17:41:44 IST 2022","Sun Aug 21 17:42:27 IST 2022","42453","","Setmore Application Login","","Setmore Application Login","User should login to setmore with valid credentials","User should login to setmore with valid credentials",""
"passed","Fri Aug 19 22:10:50 IST 2022","Fri Aug 19 22:11:13 IST 2022","22221","","Setmore Add Staff","","Setmore Add Staff","Adding staff in setmore","Adding staff in setmore",""
"passed","Fri Aug 19 20:56:56 IST 2022","Fri Aug 19 20:57:24 IST 2022","27525","","Setmore logout feature","","Setmore logout feature","User should logout from setmore","User should logout from setmore",""
"passed","Fri Aug 19 22:01:02 IST 2022","Fri Aug 19 22:01:21 IST 2022","19874","","Setmore Add Staff","","Setmore Add Staff","Adding service in setmore","Adding service in setmore",""
"passed","Sun Aug 21 17:41:43 IST 2022","Sun Aug 21 17:42:15 IST 2022","31549","","Setmore Add Service","","Setmore Add Service","Adding service in setmore","Adding service in setmore",""
"passed","Fri Aug 19 21:59:32 IST 2022","Fri Aug 19 21:59:52 IST 2022","19860","","Setmore Service Add","","Setmore Service Add","Adding service in setmore","Adding service in setmore",""
"passed","Fri Aug 19 21:09:58 IST 2022","Fri Aug 19 21:10:06 IST 2022","8491","","Setmore SignUp feature","","Setmore SignUp feature","User should sign up with valid credentials","User should sign up with valid credentials",""
"skipped","Fri Aug 19 22:09:08 IST 2022","Fri Aug 19 22:09:08 IST 2022","0","","Setmore Delete Staff","","Setmore Delete Staff","Deleting staff in setmore","Deleting staff in setmore",""
"broken","Fri Aug 19 21:39:57 IST 2022","Fri Aug 19 21:40:14 IST 2022","17020","","Setmore Service Delete","","Setmore Service Delete","Deleting service in setmore","Deleting service in setmore",""
"skipped","Fri Aug 19 22:08:03 IST 2022","Fri Aug 19 22:08:03 IST 2022","1","","Setmore Add Staff","","Setmore Add Staff","Adding staff in setmore","Adding staff in setmore",""
